years,player_dm,emotional,social,friends,irl
1,5,4,4,3,4
6,3,1,4,1,3
4,5,3,3,4,4
2,4,1,5,3,5
3,5,4,5,5,5
2,4,3,4,3,4
19,3,2,4,2,4
4,3,3,2,3,3
2,3,3,4,4,5
15,3,4,5,3,4
6,3,2,3,3,4
25,4,4,5,3,4
5,3,1,2,2,4
12,4,4,5,4,4
1,4,2,5,4,5
10,2,3,4,3,4
3,2,4,4,5,5
1,3,3,3,4,3
8,3,2,3,2,4
2,3,5,5,5,5
30,3,2,2,2,4
9,2,2,4,3,5
30,3,4,5,5,4
3,4,3,4,4,4
15,4,4,5,3,5
30,2,2,3,3,4
2,3,2,4,1,1
1,1,2,4,3,4
1,3,3,3,2,3
2,3,1,1,1,1
6,3,2,2,2,3
1,2,4,3,5,5
3,1,4,5,3,3
4,4,3,1,3,4
15,2,5,5,5,5
9,4,2,5,4,4
15,4,1,4,1,2
6,4,3,3,4,3
5,3,4,5,5,4
1,1,3,4,3,3
7,4,4,4,4,4
3,4,3,4,3,4
2.5,3,4,5,4,5
1,2,4,4,3,3
7,5,2,3,3,4
17,3,3,4,3,5
7,4,4,5,3,4
1,1,4,4,3,3
12,4,3,5,5,5
38,4,5,5,5,5
20,4,4,5,4,4
20,3,4,5,4,4
20,4,4,2,3,4
3,2,3,3,4,4
1,2,3,4,5,4
10,2,4,3,2,4
4,3,4,3,4,3
2,5,4,5,5,4
2,3,3,4,3,3
3,2,4,4,4,4
1,3,3,4,4,4
5,3,3,3,3,4
1,4,4,5,4,4
4,2,3,5,4,4
5,3,4,3,4,4
3,3,4,4,4,4
2,3,2,2,2,4
4,2,4,5,5,5
4,3,3,4,4,4
2,4,2,5,3,4
.5,1,3,4,4,4
7,3,2,4,2,4
10,3,2,2,2,2
25,3,4,5,4,4
5,2,4,5,5,4
10,4,2,2,1,4
1,3,5,5,4,5
2,3,3,4,4,3
3,1,5,5,5,5
6,3,4,4,4,3
3,3,4,4,4,4
3,3,5,5,5,5
1,3,3,5,3,4
7,3,4,4,4,5
12,4,4,4,5,4
5,2,4,5,4,5
11,4,2,2,3,4
1,3,4,4,3,4
1,1,3,4,4,3
