"Timestamp","For how many years have you been playing tabletop role-playing games (TTRPG's)?","Where do you fall on the DM-player scale?","I have learned emotional skills (f.e. dealing with grief, gender issues, dealing with emotions, etc.) from playing TTRPG's.","I have learned social skills (f.e. making friends, public speaking, theatre, etc.) from playing TTRPG's.","I have become better at getting friends through playing TTRPG's.","I feel TTRPG's have helped me in real life.","What, if anything, have you gained/learned by playing role playing games?"
"2019/06/19 10:25:44 PM GMT+2","1","Mostly DM","Agree","Agree","Agree","Agree","A better understand of what outcomes will be caused by actions "
"2019/06/19 10:25:47 PM GMT+2","6","Mostly Player","Neutral","Agree","Agree","Agree","Strategy and how to improv "
"2019/06/19 10:26:14 PM GMT+2","2","Mostly DM","Neutral","Agree","Agree","Neutral","Improvisational skills, and better storytelling skills."
"2019/06/19 10:26:17 PM GMT+2","5","Player & DM","Neutral","Agree","Neutral","Agree","A sense of imagination and creativity that I don't think I would have.  As an adult there aren't really many ways to let your mind have fun, but D&D is so fantastic in that it thrives on letting your mind out of its box to see and experience so many different things.  Its been like therapy for me."
"2019/06/19 10:27:41 PM GMT+2","9","Player & DM","Disagree","Agree","Neutral","Agree","Organising people do focus on one particular task (i.e. playing the game)"
"2019/06/19 10:29:32 PM GMT+2","1","Mostly Player","Neutral","Neutral","Agree","Agree","Creating genuine characters"
"2019/06/19 10:30:20 PM GMT+2","5","Player & DM","Agree","Strongly agree","Strongly agree","Strongly agree","Friendship, social skills, empathy, definitely empathy, very much so empathy"
"2019/06/19 10:32:49 PM GMT+2","29","Mostly DM","Disagree","Agree","Agree","Agree","Friends for life, an ex-wife, public speaking & presentation skills, improvisation/winging it/fake it till you make it, love for real life adventure, love for the great outdoors."
"2019/06/19 10:33:36 PM GMT+2","2","Only DM","Neutral","Agree","Neutral","Agree","Helps me understand other viewpoints than my own, especially as a create NPCs, especially villains, that have varied motivations and viewpoints. "
"2019/06/19 10:33:39 PM GMT+2","4","Player & DM","Disagree","Agree","Neutral","Strongly agree","I have learned a lot of writing skills both as player & DM.  Purely as a DM, I have greatly increased my improv skills - thinking on my feet, and trying to keep a plotline realistic when my players do something unexpected. I don't know if playing has helped me learn any emotional skills, but you certainly get to practice them!  Also, it's good practice for your poker face when your players throw a wrench into your plans... or fall right into a really stupid trap.  It's great watching your friends have fun."
"2019/06/19 10:35:25 PM GMT+2","4","Player & DM","Agree","Strongly agree","Agree","Strongly agree","How to craft a story."
"2019/06/19 10:35:26 PM GMT+2","5","Mostly DM","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","A greater interest in history and geography"
"2019/06/19 10:36:07 PM GMT+2","20","Only Player","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","I gained a friend that I've had now for 15+ years. We have never met in person but talk daily. 
I have learned to become a better writer and to not judge a person or a situation too quickly. Better to assess before making a final decision. "
"2019/06/19 10:36:49 PM GMT+2","2","Player & DM","Disagree","Neutral","Disagree","Neutral",""
"2019/06/19 10:37:21 PM GMT+2","6","Only Player","Neutral","Agree","Agree","Neutral","Basic math (fast addition, subtraction), love of reading (starting with fantasy novels and expanding from there)"
"2019/06/19 10:37:39 PM GMT+2","2","Mostly DM","Neutral","Agree","Agree","Agree","How to improvise "
"2019/06/19 10:39:41 PM GMT+2","10","Player & DM","Disagree","Disagree","Disagree","Agree","Entertainment"
"2019/06/19 10:39:50 PM GMT+2","18","Only Player","Strongly disagree","Strongly disagree","Strongly disagree","Agree","I've gained an excuse to hang out with friends and fun."
"2019/06/19 10:41:41 PM GMT+2","25","Player & DM","Strongly agree","Neutral","Neutral","Strongly agree","Ability to look at thing from multiple perspectives.  In real life, this means I can understand and empathize with people who don't agree with me."
"2019/06/19 10:42:14 PM GMT+2","1","Player & DM","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Had a good time with my friends and an outlet for energy and creativity. "
"2019/06/19 10:42:50 PM GMT+2","3","Mostly DM","Neutral","Agree","Agree","Strongly agree",""
"2019/06/19 10:43:23 PM GMT+2","10","Player & DM","Agree","Strongly agree","Strongly agree","Agree","It is ok to be goofy, say yes and, be open to new ideas, team dynamics, plot hooks, and never know where creativity is going to come from"
"2019/06/19 10:44:03 PM GMT+2","4","Mostly DM","Agree","Strongly agree","Strongly agree","Strongly agree",""
"2019/06/19 10:44:25 PM GMT+2","3","Mostly DM","Neutral","Agree","Agree","Agree","Perspective is not universal. What is obvious to one person will not be so to another"
"2019/06/19 10:44:37 PM GMT+2","15","Player & DM","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Creative thinking"
"2019/06/19 10:45:54 PM GMT+2","8","Player & DM","Disagree","Strongly agree","Agree","Strongly agree","They have helped lower my social inhibitions, breaking me out of ""my shell"". They have also helped me learn how to respond to people and situations in interesting and engaging ways AND helped me think critically and creatively when tackling a problem. "
"2019/06/19 10:46:10 PM GMT+2","10","Mostly DM","Agree","Agree","Neutral","Agree","How to be creative, and take risks."
"2019/06/19 10:47:17 PM GMT+2","6","Mostly DM","Disagree","Disagree","Neutral","Neutral",""
"2019/06/19 10:47:35 PM GMT+2","1","Player & DM","Neutral","Agree","Disagree","Agree","I just helps me get my mind off things. A nice little bit of escapism can go a long way."
"2019/06/19 10:47:46 PM GMT+2","2","Only DM","Neutral","Agree","Neutral","Neutral",""
"2019/06/19 10:48:11 PM GMT+2","6","Player & DM","Strongly agree","Strongly agree","Agree","Agree","Purpose"
"2019/06/19 10:49:32 PM GMT+2","2","Player & DM","Neutral","Agree","Neutral","Agree","A good outlet for my creative thinking"
"2019/06/19 10:49:39 PM GMT+2","3","Mostly DM","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Everything?"
"2019/06/19 10:50:47 PM GMT+2","2","Player & DM","Neutral","Agree","Agree","Strongly agree","I feel that since playing role playing games, I have been able to develop and strengthen friendships in more profound ways than I was easily able to before. "
"2019/06/19 10:50:52 PM GMT+2","1.5","Mostly DM","Agree","Agree","Strongly agree","Strongly agree","That strangers aren't as judgemental as you think, especially if you're doing the same thing. There's something very authentic about adults all agreeing to be elves and wizards and aliens with each other."
"2019/06/19 10:51:47 PM GMT+2","2","Player & DM","Disagree","Agree","Agree","Agree","Improvisational skills, enjoyment of a game with friends, more creativity, improved interpersonal skills"
"2019/06/19 10:51:57 PM GMT+2","3","Mostly Player","Disagree","Strongly agree","Strongly agree","Agree",""
"2019/06/19 10:52:00 PM GMT+2","3","Mostly Player","Agree","Neutral","Neutral","Agree","In a world where friends are scattered across the globe and don’t have much reason to get together, TTRPGs present a space to hang out and be creative together even when bedridden. "
"2019/06/19 10:52:30 PM GMT+2","2","Player & DM","Disagree","Strongly agree","Strongly agree","Agree","It's a creative outlet that let me appreciate art, writing and creativity in general. It has gained me a lot of friends and social skills in general."
"2019/06/19 10:52:44 PM GMT+2","5","Mostly Player","Neutral","Agree","Neutral","Neutral",""
"2019/06/19 10:53:17 PM GMT+2","3","Mostly DM","Neutral","Strongly agree","Strongly agree","Strongly agree","writing and improv"
"2019/06/19 10:53:52 PM GMT+2","3","Mostly DM","Agree","Agree","Agree","Agree","I've gained a group of online friends I can chat with for a few hours every week despite being separated from them in real life."
"2019/06/19 10:54:02 PM GMT+2","4","Mostly DM","Neutral","Strongly agree","Agree","Strongly agree","How to work to achieve a common goal, how to settle disputes."
"2019/06/19 10:54:08 PM GMT+2","3 ","Player & DM","Agree","Strongly agree","Neutral","Agree","That ""You can certainly try."" Brings out a different part of me that likes to be challenged."
"2019/06/19 10:55:08 PM GMT+2","2","Only DM","Agree","Neutral","Neutral","Neutral",""
"2019/06/19 10:56:06 PM GMT+2","25","Player & DM","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Working with groups, conflict resolution, creativity, critical analysis (reading & interrupting rules, build, combos), storytelling, public speaking, leadership when GMing, better writing skills, & oddly enough how to be a better parent."
"2019/06/19 10:56:28 PM GMT+2","2","Mostly Player","Neutral","Agree","Agree","Agree","I’ve learned to appreciate what it offers to a group of people, the expansive creativity is what people want to express and rpg/ttrpg let us do that."
"2019/06/19 10:57:37 PM GMT+2","1.5","Mostly Player","Agree","Strongly agree","Agree","Strongly agree",""
"2019/06/19 10:58:04 PM GMT+2","22","Mostly DM","Neutral","Strongly agree","Disagree","Agree","Storytelling is a vehicle for emotional processing, which is awesome. But prepping for RPGs also incorporates a whole lot of planning, time (and people) management, and math."
"2019/06/19 10:58:22 PM GMT+2","1","Player & DM","Neutral","Agree","Agree","Agree","Confidence. "
"2019/06/19 10:58:53 PM GMT+2","3","Mostly Player","Neutral","Agree","Agree","Strongly agree",""
"2019/06/19 10:59:21 PM GMT+2","13","Player & DM","Neutral","Agree","Neutral","Agree",""
"2019/06/19 11:00:12 PM GMT+2","8","Player & DM","Agree","Agree","Neutral","Neutral","Collaboration, non linear problem solving, communication, emotional openness, willingness to accept outside viewpoints and perspectives. "
"2019/06/19 11:00:59 PM GMT+2","8","Mostly DM","Disagree","Strongly agree","Agree","Strongly agree","How to keep mass information organized, storytelling, event organization, creative writing, problem solving, "
"2019/06/19 11:01:56 PM GMT+2","6","Mostly DM","Agree","Agree","Neutral","Neutral","Comfortable speaking in front of a group"
"2019/06/19 11:02:05 PM GMT+2","12","Mostly DM","Agree","Agree","Neutral","Agree","Empathy. If I want to play a character well, I tend to look more at the people around me. What starts off as inspiration to build an imaginary character blossoms into better understanding of how people feel and think."
"2019/06/19 11:02:49 PM GMT+2","1","Only Player","Disagree","Disagree","Disagree","Neutral",""
"2019/06/19 11:02:53 PM GMT+2","2","Mostly Player","Neutral","Agree","Neutral","Neutral","Good times and laughs. Love the adventure of it"
"2019/06/19 11:03:00 PM GMT+2","10","Mostly Player","Agree","Strongly agree","Strongly agree","Strongly agree","Confidence in talking with people I've just met, asking leading questions to get to know someone better, patience for other people's decision making processes, and a slight increase in being willing to take risks (only small, that shit is scary)."
"2019/06/19 11:03:01 PM GMT+2","3","Player & DM","Agree","Neutral","Neutral","Agree",""
"2019/06/19 11:03:45 PM GMT+2","1","Player & DM","Strongly agree","Strongly agree","Strongly agree","Strongly agree",""
"2019/06/19 11:05:13 PM GMT+2","5","Player & DM","Disagree","Strongly agree","Agree","Agree","How to better schedule events, both socially and professionally.
How to be more transparent in communication"
"2019/06/19 11:05:18 PM GMT+2","2","Mostly DM","Agree","Strongly agree","Agree","Strongly agree",""
"2019/06/19 11:06:15 PM GMT+2","1","Only DM","Disagree","Agree","Disagree","Agree","Exciting Hobby To Do With Unfit Friends"
"2019/06/19 11:07:01 PM GMT+2","1","Player & DM","Agree","Strongly agree","Neutral","Strongly agree","RPGs are an incredible creative outlet. For someone like me, who had severe depression, finding the hobby was like discovering a whole new world. I wholeheartedly believe that D&D played an important part in my recovery and self-improvement."
"2019/06/19 11:07:11 PM GMT+2","25","Player & DM","Agree","Agree","Agree","Neutral","Truly amazing stories coupled with weekly social gatherings. A loving wife, a massive collection of minis we really don't have room for (but I'm going to keep growing anyways), and of course a fascination with world building and story telling. D&D is a creative, chaotic outlet in an otherwise ordered and predictable life pattern."
"2019/06/19 11:07:11 PM GMT+2","12","Player & DM","Strongly disagree","Agree","Neutral","Strongly agree",""
"2019/06/19 11:07:12 PM GMT+2","3","Player & DM","Agree","Agree","Strongly agree","Strongly agree",""
"2019/06/19 11:08:42 PM GMT+2","1","Mostly Player","Agree","Agree","Neutral","Strongly agree","Finding focus and inspiration to write"
"2019/06/19 11:08:43 PM GMT+2","1","Only Player","Agree","Strongly agree","Agree","Agree",""
"2019/06/19 11:10:23 PM GMT+2","5","Mostly DM","Agree","Agree","Neutral","Neutral","Tempering expectations"
"2019/06/19 11:10:29 PM GMT+2","1","Mostly DM","Disagree","Agree","Disagree","Agree","to have fun even if things are considered weird or embarrassing. do what makes you happy, not what makes others happy. "
"2019/06/19 11:11:08 PM GMT+2","2","Mostly DM","Disagree","Agree","Disagree","Disagree",""
"2019/06/19 11:11:08 PM GMT+2","1","Mostly Player","Agree","Agree","Neutral","Neutral","I now know how to be a cat person."
"2019/06/19 11:11:33 PM GMT+2","4","Mostly DM","Agree","Agree","Agree","Agree","From DM-ing you learn very quickly to account for other people’s feelings and resolve conflicts when that occurs. I have also massively boosted improvisational skills and making good, educated decisions under pressure."
"2019/06/19 11:11:44 PM GMT+2","3","Player & DM","Disagree","Disagree","Disagree","Disagree",""
"2019/06/19 11:11:59 PM GMT+2","0.8","Player & DM","Agree","Strongly agree","Neutral","Agree","Experience of tactics in a fantasy environment "
"2019/06/19 11:12:30 PM GMT+2","1","Player & DM","Disagree","Disagree","Agree","Agree","Creativity"
"2019/06/19 11:13:47 PM GMT+2","0","Only DM","Agree","Agree","Neutral","Agree","Confidence"
"2019/06/19 11:13:55 PM GMT+2","3","Player & DM","Agree","Strongly agree","Neutral","Agree","Teamwork, Thinking things though, multitasking"
"2019/06/19 11:14:17 PM GMT+2","5","Mostly DM","Strongly disagree","Disagree","Disagree","Strongly agree",""
"2019/06/19 11:14:20 PM GMT+2","33","Player & DM","Neutral","Neutral","Neutral","Agree","Working in groups, analysing hypothetical situations for responses, challenging my own ideas of the world, following systems/rules to a desired outcome, storytelling, logic based on differing perspectives and information, a reason to hang out with old friends, "
"2019/06/19 11:14:26 PM GMT+2","3","Player & DM","Disagree","Agree","Neutral","Strongly disagree","Confidence around strangers and in larger groups, organisational skills"
"2019/06/19 11:14:31 PM GMT+2","2","Player & DM","Neutral","Agree","Neutral","Agree","Lots of problem solving and team building! More creative thinking in general as well"
"2019/06/19 11:14:59 PM GMT+2","2","Player & DM","Agree","Agree","Neutral","Agree",""
"2019/06/19 11:15:11 PM GMT+2","10","Mostly DM","Neutral","Agree","Strongly agree","Agree","To not take things so seriously, a playful jab is just that."
"2019/06/19 11:15:37 PM GMT+2","6","Only Player","Disagree","Neutral","Neutral","Agree","Consistent positive social interaction"
"2019/06/19 11:16:00 PM GMT+2","3.5","Mostly Player","Neutral","Agree","Neutral","Agree",""
"2019/06/19 11:16:12 PM GMT+2","6","Player & DM","Agree","Neutral","Neutral","Agree","Story telling skills. Creating interesting worlds and characters, what does work and doesn't. "
"2019/06/19 11:17:49 PM GMT+2","1","Player & DM","Strongly agree","Strongly agree","Strongly agree","Agree","How to see things from the perspective of another and how the reality others face shape them despite there lack of control over such situations."
"2019/06/19 11:18:33 PM GMT+2","1","Player & DM","Agree","Agree","Agree","Strongly agree","That you never have the answer to everything, life or your players will do the unexpected"
"2019/06/19 11:19:54 PM GMT+2","3","Player & DM","Agree","Agree","Disagree","Strongly disagree","Anticipation makes everything sweeter."
"2019/06/19 11:19:58 PM GMT+2","1","Only Player","Neutral","Agree","Agree","Strongly agree","A vivid imagination, an opportunity to communicate with people on just on a social ""let's grab a beer"" level but deeper. I am friends with people I might have not met otherwise and we share unique in-game memories and a strong connection!"
"2019/06/19 11:20:53 PM GMT+2","1.5","Only Player","Agree","Agree","Neutral","Agree","How to describe emotions and feelings; getting to know myself better through my characters."
"2019/06/19 11:22:25 PM GMT+2","5","Player & DM","Neutral","Agree","Strongly agree","Strongly agree",""
"2019/06/19 11:24:41 PM GMT+2","3","Mostly Player","Agree","Agree","Strongly agree","Agree","Ways to write characters better and make them more believable and more problem solving skills"
"2019/06/19 11:25:56 PM GMT+2","2","Player & DM","Disagree","Agree","Disagree","Agree","More chance to use my creative skills."
"2019/06/19 11:26:16 PM GMT+2","3","Player & DM","Neutral","Agree","Neutral","Agree","Game design"
"2019/06/19 11:26:35 PM GMT+2","1","Player & DM","Neutral","Neutral","Neutral","Neutral",""
"2019/06/19 11:26:37 PM GMT+2","1","Mostly Player","Neutral","Agree","Agree","Neutral",""
"2019/06/19 11:26:54 PM GMT+2","1","Only DM","Neutral","Agree","Agree","Neutral","Human interaction is not dead or dying, you simply have to find a worth while may of spending it that fosters that interaction."
"2019/06/19 11:27:29 PM GMT+2","1","Player & DM","Neutral","Agree","Neutral","Agree",""
"2019/06/19 11:27:30 PM GMT+2","3","Mostly DM","Neutral","Agree","Agree","Agree",""
"2019/06/19 11:28:19 PM GMT+2","4","Mostly DM","Neutral","Agree","Agree","Agree","How to be more comfortable dealing with situations you dont expect. Improv is king"
"2019/06/19 11:28:21 PM GMT+2","1","Mostly Player","Neutral","Neutral","Neutral","Neutral",""
"2019/06/19 11:30:33 PM GMT+2","5","Mostly DM","Agree","Neutral","Disagree","Agree","Not to quash peoples ideas. Even a simple thought can mean a lot someone. Take serious consideration and don't be afraid to tell people ""You can certainly try"" in and out of game."
"2019/06/19 11:31:09 PM GMT+2","1","Player & DM","Disagree","Strongly agree","Agree","Neutral","Finding a new outlet to find new friends which has been a struggle as an adult. "
"2019/06/19 11:32:34 PM GMT+2","3.5 ","Mostly Player","Neutral","Agree","Neutral","Agree","A renewed imagination."
"2019/06/19 11:32:55 PM GMT+2","1.5","Player & DM","Agree","Strongly agree","Strongly agree","Strongly agree","I have gained a community of supportive friends."
"2019/06/19 11:34:28 PM GMT+2","4","Player & DM","Neutral","Disagree","Agree","Agree",""
"2019/06/19 11:35:00 PM GMT+2","26","Mostly Player","Strongly agree","Agree","Agree","Strongly agree"," Mathematics, vocabulary, cooperation and teambuilding, cartography,  Reading other peoples emotions and expressing my own, speaking in different voices "
"2019/06/19 11:35:04 PM GMT+2","1","Mostly Player","Neutral","Agree","Neutral","Agree",""
"2019/06/19 11:35:32 PM GMT+2","1.5","Mostly Player","Neutral","Neutral","Agree","Strongly agree","Don't prioritize the happiness of others over your own; take care of yourself before you take care of others "
"2019/06/19 11:37:30 PM GMT+2","4","Only DM","Agree","Agree","Neutral","Agree","A creative outlet"
"2019/06/19 11:37:55 PM GMT+2","2","Player & DM","Agree","Strongly agree","Strongly agree","Strongly agree","How to meet people, and worldbuilding/storytelling/acting techniques"
"2019/06/19 11:39:13 PM GMT+2","2","Player & DM","Disagree","Neutral","Neutral","Agree","Empathy"
"2019/06/19 11:39:30 PM GMT+2","5","Mostly Player","Agree","Strongly agree","Agree","Agree",""
"2019/06/19 11:39:43 PM GMT+2","2","Mostly DM","Strongly disagree","Agree","Agree","Strongly agree",""
"2019/06/19 11:40:57 PM GMT+2","3","Player & DM","Agree","Strongly agree","Strongly agree","Strongly agree","A better understanding of math and probabilities, as well as several very important friendships"
"2019/06/19 11:40:59 PM GMT+2","3","Mostly DM","Agree","Agree","Neutral","Neutral","how to adapt and inverate, how to improvise on the spot"
"2019/06/19 11:42:00 PM GMT+2","35","Only Player","Neutral","Agree","Disagree","Agree",""
"2019/06/19 11:42:05 PM GMT+2","10 ","Mostly DM","Neutral","Agree","Neutral","Agree",""
"2019/06/19 11:42:25 PM GMT+2","6","Player & DM","Neutral","Agree","Agree","Agree","Conflict resolution"
"2019/06/19 11:43:50 PM GMT+2","2","Mostly Player","Agree","Strongly agree","Strongly agree","Strongly agree","I have learned that sometimes (most of the time) people will have varying opinions, and different solutions to problems that you may not agree with, but if you take the time to talk with them and work it out, you can come to a compromise that everyone will be happy with. "
"2019/06/19 11:43:55 PM GMT+2","2","Mostly DM","Neutral","Agree","Neutral","Neutral","My players are idiots"
"2019/06/19 11:44:06 PM GMT+2","25","Mostly Player","Agree","Strongly agree","Agree","Strongly agree","Having a weekly meeting with friends has helped my mental health significantly"
"2019/06/19 11:45:40 PM GMT+2","3","Mostly Player","Neutral","Agree","Agree","Agree",""
"2019/06/19 11:45:46 PM GMT+2","3","Mostly Player","Agree","Agree","Strongly agree","Agree",""
"2019/06/19 11:47:42 PM GMT+2","2","Only DM","Neutral","Agree","Neutral","Agree","Being more confident to do what I love. And if I' making a fool of myself by doing it. That is ok, cause I enjoy it.^^"
"2019/06/19 11:48:15 PM GMT+2","8","Mostly Player","Neutral","Agree","Neutral","Agree","How to cooperate as a team while taking on a viewpoint other than my own has been incredibly helpful. Even just the teamwork alone. "
"2019/06/19 11:48:25 PM GMT+2","2","Mostly Player","Neutral","Agree","Neutral","Agree",""
"2019/06/19 11:48:51 PM GMT+2","7","Mostly DM","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","My players are awful at Roleplay, so while i'd love to do those things, they can't hold a conversation in character."
"2019/06/19 11:48:53 PM GMT+2","4","Mostly Player","Strongly disagree","Agree","Agree","Neutral","None -- just fun with friends"
"2019/06/19 11:48:58 PM GMT+2","3","Player & DM","Agree","Agree","Strongly agree","Neutral","A closer bond with my friends, as well as slightly better social awareness."
"2019/06/19 11:49:08 PM GMT+2","4","Player & DM","Agree","Strongly agree","Neutral","Agree","Almost anything you can think of"
"2019/06/19 11:50:48 PM GMT+2","6","Only DM","Neutral","Agree","Neutral","Strongly agree","That there are different kinds of creativity a person can possess."
"2019/06/19 11:51:00 PM GMT+2","1","Only Player","Strongly agree","Strongly agree","Strongly agree","Strongly agree","I’m autistic. It’s helped me be more sociable, and it’s great to have a game that leans straight into my strengths. "
"2019/06/19 11:51:03 PM GMT+2","1","Mostly Player","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","New ways to have fun with friends"
"2019/06/19 11:51:53 PM GMT+2","30","Player & DM","Neutral","Strongly agree","Agree","Strongly agree","Tactic, negotiation, a bit of English (I am french) , friend for life"
"2019/06/19 11:52:28 PM GMT+2","6","Player & DM","Neutral","Agree","Neutral","Agree","I feel like I've learned to manage interactions with people better. The character/story moments of playing haven't necessarily contributed to personal growth, but the more logistical side of things has definitely helped. Like learning to adjust schedules, coordinate groups of people and the like."
"2019/06/19 11:52:33 PM GMT+2","3","Mostly Player","Agree","Neutral","Agree","Neutral","I find it quite interesting to see the difference in how people act in real life vs. how they play a character in a tabletop rpg. I suppose the thing I've learned from my relatively short time playing these games is that people really enjoy letting loose and being free from expectations when they create a character for a made up world that can do whatever they want."
"2019/06/19 11:52:42 PM GMT+2","2","Mostly DM","Neutral","Neutral","Neutral","Neutral","Patience, mostly. "
"2019/06/19 11:52:47 PM GMT+2","13","Player & DM","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Never split the party. Having others to lean on can be good"
"2019/06/19 11:52:57 PM GMT+2","5","Player & DM","Neutral","Neutral","Agree","Agree","Friendship"
"2019/06/19 11:53:19 PM GMT+2","6","Mostly Player","Agree","Agree","Agree","Agree",""
"2019/06/19 11:54:07 PM GMT+2","20","Mostly Player","Agree","Agree","Neutral","Agree",""
"2019/06/19 11:54:28 PM GMT+2","2","Player & DM","Neutral","Neutral","Neutral","Neutral",""
"2019/06/19 11:54:45 PM GMT+2","9","Mostly Player","Neutral","Agree","Agree","Agree",""
"2019/06/19 11:54:51 PM GMT+2","3","Only DM","Neutral","Agree","Agree","Agree","Guiding user experience. Understanding the differences between what I see vs. what the party sees has been helpful in both my teaching and other customer service roles I have held. "
"2019/06/20 12:00:29 AM GMT+2","1","Player & DM","Agree","Neutral","Neutral","Agree",""
"2019/06/20 12:00:47 AM GMT+2","5","Mostly Player","Agree","Agree","Neutral","Strongly agree",""
"2019/06/20 12:00:50 AM GMT+2","20","Mostly DM","Neutral","Agree","Neutral","Agree",""
"2019/06/20 12:01:16 AM GMT+2","3","Only Player","Neutral","Agree","Neutral","Agree","Developed more confidence speaking publicly"
"2019/06/20 12:01:34 AM GMT+2","2","Mostly Player","Neutral","Agree","Neutral","Neutral",""
"2019/06/20 12:03:20 AM GMT+2","35","Player & DM","Strongly agree","Agree","Agree","Strongly agree","Pain heals. Chicks dig scars. Glory… lasts forever"
"2019/06/20 12:04:34 AM GMT+2","1","Only Player","Neutral","Neutral","Agree","Agree","I strengthened my bonds with some friends, made new ones, distressed from life, met my first gf (and ex-gf) through the gf of one of my new friends.
TLDR strengthened and made new friendships."
"2019/06/20 12:04:42 AM GMT+2","5","Mostly DM","Disagree","Agree","Neutral","Agree",""
"2019/06/20 12:05:04 AM GMT+2","1","Only Player","Neutral","Neutral","Neutral","Agree","A new sense of imagination and creativity that I thought was lost with childhood "
"2019/06/20 12:05:12 AM GMT+2","3","Player & DM","Neutral","Agree","Agree","Strongly agree","I've learned that not everything is meant be be won, and most things you must work for"
"2019/06/20 12:07:36 AM GMT+2"," 6","Player & DM","Neutral","Neutral","Neutral","Neutral",""
"2019/06/20 12:07:42 AM GMT+2","2","Player & DM","Agree","Strongly agree","Agree","Strongly agree","As a player, I learned not everyone works well together. As a DM, I learned a whole lot about why the world is the way it is and how it came to be that way, both geologically and people-logically."
"2019/06/20 12:08:27 AM GMT+2","14","Mostly DM","Agree","Strongly agree","Agree","Strongly agree","I became a more well rounded, social individual. Without roleplay, I would have receded into asocial obscurity. "
"2019/06/20 12:11:22 AM GMT+2","2","Only Player","Neutral","Agree","Agree","Agree","Social skills, public speaking, entertainment"
"2019/06/20 12:11:22 AM GMT+2","4","Player & DM","Agree","Strongly agree","Strongly agree","Strongly agree","Confidence in my creativity, ability to connect with more diverse groups of people, lots of work on my social anxiety"
"2019/06/20 12:11:36 AM GMT+2","4","Player & DM","Agree","Agree","Agree","Strongly agree","Being a DM, I have learned how to better improvise when things go unexpectedly and adapt to situations. This has proved helpful in my personal life as well."
"2019/06/20 12:12:47 AM GMT+2","4","Mostly DM","Agree","Agree","Agree","Agree",""
"2019/06/20 12:13:21 AM GMT+2","5","Only DM","Neutral","Agree","Neutral","Agree","improvisation"
"2019/06/20 12:14:09 AM GMT+2","15","Player & DM","Strongly disagree","Disagree","Disagree","Agree",""
"2019/06/20 12:15:07 AM GMT+2","20","Mostly DM","Disagree","Disagree","Disagree","Disagree","Storytelling, Improvisational Collaboration "
"2019/06/20 12:15:36 AM GMT+2","1","Player & DM","Neutral","Agree","Agree","Agree","To announce your reaction before the dm can ask for initiative"
"2019/06/20 12:16:27 AM GMT+2","7","Player & DM","Agree","Agree","Disagree","Neutral","Planning and group scheduling! Keeping communication lines open with the purpose of making sure everyone has the information they need to act, in time to decide what to do, to minimize wasted time/effort and maximize fun."
"2019/06/20 12:17:19 AM GMT+2","1","Player & DM","Agree","Strongly agree","Agree","Strongly agree","Many good friends, better social skills, i think it helped my problem solvings skills and made
me better at looking for a creative solution to a problem."
"2019/06/20 12:18:59 AM GMT+2","2","Player & DM","Neutral","Agree","Agree","Strongly agree","Never split the party (things are better if you keep your friends around you) "
"2019/06/20 12:19:13 AM GMT+2","11","Mostly DM","Disagree","Agree","Agree","Strongly agree","Game design theory"
"2019/06/20 12:19:30 AM GMT+2","2","Player & DM","Disagree","Strongly agree","Agree","Strongly agree",""
"2019/06/20 12:19:30 AM GMT+2","3","Mostly Player","Disagree","Neutral","Neutral","Neutral","New friends who only talk to me once a Week/ Month."
"2019/06/20 12:22:01 AM GMT+2","22","Player & DM","Neutral","Agree","Agree","Agree",""
"2019/06/20 12:22:33 AM GMT+2","6","Mostly DM","Agree","Strongly agree","Strongly agree","Agree",""
"2019/06/20 12:23:07 AM GMT+2","2","Mostly DM","Disagree","Agree","Neutral","Agree",""
"2019/06/20 12:23:47 AM GMT+2","10","Mostly DM","Strongly disagree","Agree","Disagree","Disagree","Organizational skills. Communicative skills. Writing skills (story structure) and improv. "
"2019/06/20 12:24:03 AM GMT+2","34","Mostly DM","Disagree","Strongly agree","Strongly agree","Agree",""
"2019/06/20 12:26:08 AM GMT+2","7","Player & DM","Neutral","Strongly agree","Agree","Strongly agree","Conflict management between myself and others, and between others."
"2019/06/20 12:26:19 AM GMT+2","2 ","Only DM","Strongly disagree","Neutral","Disagree","Strongly disagree",""
"2019/06/20 12:27:36 AM GMT+2","1","Mostly Player","Disagree","Disagree","Agree","Neutral","That you shouldn’t try and seduce a dragon"
"2019/06/20 12:28:31 AM GMT+2","1","Mostly DM","Neutral","Agree","Neutral","Neutral",""
"2019/06/20 12:29:00 AM GMT+2","23","Player & DM","Agree","Strongly agree","Agree","Agree","The value in self-expression "
"2019/06/20 12:29:15 AM GMT+2","3","Player & DM","Disagree","Neutral","Neutral","Neutral",""
