"Timestamp","For how many years have you been playing tabletop role-playing games (TTRPG's)?","Where do you fall on the DM-player scale?","I have learned emotional skills (f.e. dealing with grief, gender issues, dealing with emotions, etc.) from playing TTRPG's.","I have learned social skills (f.e. making friends, public speaking, theatre, etc.) from playing TTRPG's.","I have become better at getting friends through playing TTRPG's.","I feel TTRPG's have helped me in real life.","What, if anything, have you gained/learned by playing role playing games?"
"2019/06/20 3:20:14 PM GMT+2","3","Player & DM","Agree","Agree","Agree","Agree","It’s ok to be a little different. Also, it’s ok to try something new like a voice or being a DM. It doesn’t matter to the players if you are bad at it or not. So long as everyone is having fun, nothing is wrong about it."
"2019/06/20 3:23:43 PM GMT+2","2","Player & DM","Disagree","Disagree","Disagree","Agree",""
"2019/06/20 3:24:09 PM GMT+2","4","Mostly Player","Agree","Strongly agree","Strongly agree","Strongly agree","I have gained some lifelong friends in the process of playing DnD over the last 4 years."
"2019/06/20 3:25:10 PM GMT+2","4","Player & DM","Neutral","Agree","Agree","Agree","Creative think/improv, talking point when meeting new people"
"2019/06/20 3:32:28 PM GMT+2","2","Mostly DM","Disagree","Strongly agree","Neutral","Agree","Improvisational skills, confidence, public speaking, how to describe things/ideas more clearly and efficiently"
"2019/06/20 3:33:54 PM GMT+2",".5","Only Player","Neutral","Agree","Agree","Agree",""
"2019/06/20 3:33:58 PM GMT+2","7","Player & DM","Disagree","Agree","Disagree","Agree","As a DM to be able to do voices, mannerisms and actions relating to NPC's the players encounter. Even though I was with friends, it was still a bigger hurdle than expected when I first started. Having done this for a few years now has made being a teacher and standing in front of a class a little bit easier for me."
"2019/06/20 3:36:44 PM GMT+2","10","Player & DM","Disagree","Disagree","Disagree","Disagree","It helps me express my creative side."
"2019/06/20 3:40:27 PM GMT+2","25","Player & DM","Agree","Strongly agree","Agree","Agree","Creative problem solving, cognitive reasoning, public speaking, and organizational behavior skills. "
"2019/06/20 3:41:21 PM GMT+2","5","Mostly Player","Agree","Strongly agree","Strongly agree","Agree","A mean in which, as a writer, I can develop myself and actualy make good use of it."
"2019/06/20 3:42:01 PM GMT+2","10","Mostly DM","Disagree","Disagree","Strongly disagree","Agree","I’ve learned and gained confidence and creativity, mostly though worldbuilding as I DM."
"2019/06/20 3:43:00 PM GMT+2","1","Player & DM","Strongly agree","Strongly agree","Agree","Strongly agree","Coming up with solutions"
"2019/06/20 3:44:01 PM GMT+2","2","Player & DM","Neutral","Agree","Agree","Neutral","Lemons"
"2019/06/20 3:44:46 PM GMT+2","3","Only Player","Strongly agree","Strongly agree","Strongly agree","Strongly agree","To be comfortable with expressing emotions (which can be difficult for men). It has also helped me with issues like anxiety and low self-esteem, and I’ve made a bunch of friends this way."
"2019/06/20 3:45:44 PM GMT+2","6","Player & DM","Agree","Agree","Agree","Neutral","storytelling"
"2019/06/20 3:49:23 PM GMT+2","3","Player & DM","Agree","Agree","Agree","Agree","Conflict management and problem solving."
"2019/06/20 3:51:24 PM GMT+2","3","Player & DM","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Teamwork and trust building. This was a problem for me in elementary school and highschool, as my partner(s) in groups would say they'd help me, but wouldn't. I still have some issues of that now, even though I am in college, but D&D has helped me build up those skills again."
"2019/06/20 3:52:27 PM GMT+2","1","Player & DM","Neutral","Strongly agree","Neutral","Agree","How to deal with players with lack of enthusiasm, or players who like to bend the rules"
"2019/06/20 3:53:00 PM GMT+2","7","Player & DM","Agree","Agree","Agree","Strongly agree",""
